,cuisine
0,british
1,mexican
2,filipino
3,cajun_creole
4,french
5,chinese
6,chinese
7,southern_us
8,japanese
9,spanish
10,cajun_creole
11,mexican
12,chinese
13,mexican
14,indian
15,cajun_creole
16,italian
17,korean
18,korean
19,chinese
20,british
21,korean
22,irish
23,italian
24,moroccan
25,indian
26,greek
27,mexican
28,chinese
29,italian
30,italian
31,italian
32,mexican
33,italian
34,italian
35,russian
36,mexican
37,mexican
38,french
39,italian
40,indian
41,irish
42,italian
43,italian
44,chinese
45,brazilian
46,indian
47,italian
48,irish
49,cajun_creole
50,brazilian
51,southern_us
52,french
53,spanish
54,indian
55,chinese
56,italian
57,vietnamese
58,irish
59,italian
60,mexican
61,chinese
62,mexican
63,thai
64,mexican
65,italian
66,moroccan
67,french
68,italian
69,southern_us
70,mexican
71,southern_us
72,moroccan
73,thai
74,thai
75,italian
76,italian
77,indian
78,indian
79,southern_us
80,spanish
81,jamaican
82,mexican
83,mexican
84,italian
85,japanese
86,italian
87,moroccan
88,italian
89,southern_us
90,italian
91,korean
92,cajun_creole
93,southern_us
94,southern_us
95,mexican
96,italian
97,cajun_creole
98,french
99,moroccan
100,chinese
101,italian
102,spanish
103,italian
104,mexican
105,vietnamese
106,cajun_creole
107,korean
108,indian
109,italian
110,japanese
111,french
112,chinese
113,thai
114,italian
115,vietnamese
116,cajun_creole
117,italian
118,vietnamese
119,russian
120,southern_us
121,chinese
122,southern_us
123,italian
124,italian
125,indian
126,southern_us
127,japanese
128,italian
129,mexican
130,indian
131,italian
132,southern_us
133,indian
134,mexican
135,mexican
136,chinese
137,indian
138,spanish
139,southern_us
140,greek
141,cajun_creole
142,french
143,mexican
144,french
145,mexican
146,italian
147,french
148,italian
149,mexican
150,chinese
151,japanese
152,brazilian
153,indian
154,chinese
155,mexican
156,thai
157,chinese
158,indian
159,mexican
160,southern_us
161,chinese
162,italian
163,greek
164,mexican
165,indian
166,italian
167,indian
168,greek
169,indian
170,mexican
171,mexican
172,mexican
173,vietnamese
174,southern_us
175,mexican
176,thai
177,greek
178,mexican
179,southern_us
180,southern_us
181,italian
182,vietnamese
183,french
184,italian
185,vietnamese
186,indian
187,mexican
188,moroccan
189,italian
190,italian
191,korean
192,thai
193,greek
194,italian
195,thai
196,mexican
197,mexican
198,indian
199,cajun_creole
200,greek
201,italian
202,french
203,thai
204,chinese
205,italian
206,cajun_creole
207,italian
208,brazilian
209,mexican
210,japanese
211,southern_us
212,french
213,southern_us
214,irish
215,moroccan
216,italian
217,italian
218,cajun_creole
219,italian
220,italian
221,indian
222,indian
223,chinese
224,mexican
225,mexican
226,jamaican
227,italian
228,indian
229,italian
230,italian
231,italian
232,italian
233,italian
234,italian
235,indian
236,thai
237,indian
238,mexican
239,mexican
240,italian
241,mexican
242,indian
243,french
244,mexican
245,korean
246,spanish
247,moroccan
248,filipino
249,filipino
250,chinese
251,mexican
252,mexican
253,french
254,southern_us
255,mexican
256,southern_us
257,indian
258,italian
259,japanese
260,mexican
261,southern_us
262,italian
263,moroccan
264,irish
265,filipino
266,jamaican
267,italian
268,cajun_creole
269,mexican
270,french
271,italian
272,italian
273,mexican
274,italian
275,southern_us
276,mexican
277,southern_us
278,thai
279,french
280,french
281,southern_us
282,thai
283,french
284,mexican
285,moroccan
286,mexican
287,japanese
288,mexican
289,italian
290,indian
291,mexican
292,mexican
293,mexican
294,indian
295,thai
296,moroccan
297,italian
298,cajun_creole
299,jamaican
300,southern_us
301,mexican
302,southern_us
303,french
304,irish
305,italian
306,southern_us
307,russian
308,italian
309,mexican
310,mexican
311,indian
312,korean
313,thai
314,southern_us
315,korean
316,vietnamese
317,mexican
318,filipino
319,japanese
320,irish
321,southern_us
322,southern_us
323,thai
324,vietnamese
325,mexican
326,italian
327,indian
328,indian
329,southern_us
330,italian
331,moroccan
332,italian
333,japanese
334,chinese
335,indian
336,mexican
337,spanish
338,italian
339,brazilian
340,indian
341,cajun_creole
342,italian
343,moroccan
344,indian
345,italian
346,indian
347,mexican
348,italian
349,italian
350,italian
351,southern_us
352,italian
353,british
354,mexican
355,southern_us
356,mexican
357,mexican
358,french
359,thai
360,southern_us
361,italian
362,moroccan
363,mexican
364,indian
365,italian
366,italian
367,cajun_creole
368,mexican
369,french
370,indian
371,mexican
372,jamaican
373,french
374,italian
375,chinese
376,italian
377,chinese
378,southern_us
379,italian
380,chinese
381,mexican
382,vietnamese
383,southern_us
384,mexican
385,mexican
386,mexican
387,italian
388,indian
389,thai
390,vietnamese
391,southern_us
392,southern_us
393,cajun_creole
394,italian
395,cajun_creole
396,thai
397,moroccan
398,italian
399,russian
400,greek
401,chinese
402,cajun_creole
403,greek
404,mexican
405,french
406,vietnamese
407,french
408,italian
409,chinese
410,mexican
411,french
412,indian
413,jamaican
414,mexican
415,indian
416,chinese
417,thai
418,korean
419,mexican
420,indian
421,russian
422,japanese
423,thai
424,italian
425,mexican
426,indian
427,italian
428,vietnamese
429,thai
430,mexican
431,southern_us
432,japanese
433,southern_us
434,southern_us
435,italian
436,brazilian
437,mexican
438,chinese
439,mexican
440,italian
441,italian
442,indian
443,filipino
444,spanish
445,russian
446,southern_us
447,mexican
448,mexican
449,italian
450,vietnamese
451,indian
452,thai
453,spanish
454,chinese
