,cuisine
0,italian
1,italian
2,italian
3,italian
4,italian
5,italian
6,italian
7,italian
8,italian
9,italian
10,italian
11,italian
12,italian
13,italian
14,italian
15,italian
16,italian
17,italian
18,italian
19,italian
20,italian
21,italian
22,italian
23,italian
24,italian
25,italian
26,italian
27,italian
28,italian
29,italian
30,italian
31,italian
32,italian
33,italian
34,italian
35,italian
36,italian
37,italian
38,italian
39,italian
40,italian
41,italian
42,italian
43,italian
44,italian
45,italian
46,italian
47,italian
48,italian
49,italian
50,italian
51,italian
52,italian
53,italian
54,italian
55,italian
56,italian
57,italian
58,italian
59,italian
60,italian
61,italian
62,italian
63,italian
64,italian
65,italian
66,italian
67,italian
68,italian
69,italian
70,italian
71,italian
72,italian
73,italian
74,italian
75,italian
76,italian
77,italian
78,italian
79,italian
80,italian
81,italian
82,italian
83,italian
84,italian
85,italian
86,italian
87,italian
88,italian
89,italian
90,italian
91,italian
92,italian
93,italian
94,italian
95,italian
96,italian
97,italian
98,italian
99,italian
100,italian
101,italian
102,italian
103,italian
104,italian
105,italian
106,italian
107,italian
108,italian
109,italian
110,italian
111,italian
112,italian
113,italian
114,italian
115,italian
116,italian
117,italian
118,italian
119,italian
120,italian
121,italian
122,italian
123,italian
124,italian
125,italian
126,italian
127,italian
128,italian
129,italian
130,italian
131,italian
132,italian
133,italian
134,italian
135,italian
136,italian
137,italian
138,italian
139,italian
140,italian
141,italian
142,italian
143,italian
144,italian
145,italian
146,italian
147,italian
148,italian
149,italian
150,italian
151,italian
152,italian
153,italian
154,italian
155,italian
156,italian
157,italian
158,italian
159,italian
160,italian
161,italian
162,italian
163,italian
164,italian
165,italian
166,italian
167,italian
168,italian
169,italian
170,italian
171,italian
172,italian
173,italian
174,italian
175,italian
176,italian
177,italian
178,italian
179,italian
180,italian
181,italian
182,italian
183,italian
184,italian
185,italian
186,italian
187,italian
188,italian
189,italian
190,italian
191,italian
192,italian
193,italian
194,italian
195,italian
196,italian
197,italian
198,italian
199,italian
200,italian
201,italian
202,italian
203,italian
204,italian
205,italian
206,italian
207,italian
208,italian
209,italian
210,italian
211,italian
212,italian
213,italian
214,italian
215,italian
216,italian
217,italian
218,italian
219,italian
220,italian
221,italian
222,italian
223,italian
224,italian
225,italian
226,italian
227,italian
228,italian
229,italian
230,italian
231,italian
232,italian
233,italian
234,italian
235,italian
236,italian
237,italian
238,italian
239,italian
240,italian
241,italian
242,italian
243,italian
244,italian
245,italian
246,italian
247,italian
248,italian
249,italian
250,italian
251,italian
252,italian
253,italian
254,italian
255,italian
256,italian
257,italian
258,italian
259,italian
260,italian
261,italian
262,italian
263,italian
264,italian
265,italian
266,italian
267,italian
268,italian
269,italian
270,italian
271,italian
272,italian
273,italian
274,italian
275,italian
276,italian
277,italian
278,italian
279,italian
280,italian
281,italian
282,italian
283,italian
284,italian
285,italian
286,italian
287,italian
288,italian
289,italian
290,italian
291,italian
292,italian
293,italian
294,italian
295,italian
296,italian
297,italian
298,italian
299,italian
300,italian
301,italian
302,italian
303,italian
304,italian
305,italian
306,italian
307,italian
308,italian
309,italian
310,italian
311,italian
312,italian
313,italian
314,italian
315,italian
316,italian
317,italian
318,italian
319,italian
320,italian
321,italian
322,italian
323,italian
324,italian
325,italian
326,italian
327,italian
328,italian
329,italian
330,italian
331,italian
332,italian
333,italian
334,italian
335,italian
336,italian
337,italian
338,italian
339,italian
340,italian
341,italian
342,italian
343,italian
344,italian
345,italian
346,italian
347,italian
348,italian
349,italian
350,italian
351,italian
352,italian
353,italian
354,italian
355,italian
356,italian
357,italian
358,italian
